"Date","Temperature","Depth"
"2016-02-01",5.13918931083754,39.0826128524495
"2016-02-01",3.27870883625001,30.2115119900554
"2016-02-01",4.90001604091376,34.9486743074376
"2016-02-01",3.22932541090995,28.5458158263937
"2016-02-01",6.30368198286742,43.5555067830719
"2016-02-01",5.2181420808658,39.2749035079032
"2016-02-01",3.73156433543191,31.840021488606
"2016-02-01",5.85486509241164,42.0648993198993
"2016-02-02",3.99056179914624,30.9123688093387
"2016-02-02",5.6654532790184,42.3126812309492
"2016-02-02",5.30745324632153,40.1566354685929
"2016-02-02",3.34538158075884,30.0012108235387
"2016-02-02",3.77018209351227,30.9557917354396
"2016-02-02",3.39786716811359,27.9601747621782
"2016-02-03",3.14219279410317,29.5948656230466
"2016-02-03",4.69268832653761,37.3321539881872
"2016-02-03",4.77724234424531,36.478133957251
"2016-02-03",3.33168511092663,27.8406705167145
"2016-02-03",4.9488724399358,36.6028994939988
"2016-02-03",8.00411639278754,42.7153034495423
"2016-02-03",3.18439871799201,27.0040491947439
"2016-02-03",3.36859553717077,28.7997215482173
"2016-02-03",5.19845175640657,39.8965076162713
"2016-02-04",2.43918434148654,27.2222278082045
"2016-02-05",2.7813506597653,28.5312448590994
"2016-02-05",4.13426040420309,33.0251062528696
"2016-02-05",7.00142320292071,42.0117739711422
"2016-02-06",2.94219142207876,33.2651706384495
"2016-02-06",3.94911159463226,42.945420441567
"2016-02-06",3.26165357716381,38.5404488787754
"2016-02-06",3.28007075022906,40.9101507443702
"2016-02-06",2.74201365038753,28.6524380557239
"2016-02-06",3.24892194783315,38.4760328646516
"2016-02-06",3.0535512663424,34.1698685269803
"2016-02-07",2.83268682174384,31.1166983889416
"2016-02-07",2.63157816240564,29.5005796842743
"2016-02-08",2.92890965156257,28.5472429655492
"2016-02-08",2.80365537172184,28.611060381867
"2016-02-08",3.76238923640922,39.3592064824188
"2016-02-08",3.38824891084805,43.5191108122235
"2016-02-08",3.79995513902977,40.8730118216481
"2016-02-08",4.02059991722927,41.2004766392056
"2016-02-08",2.97393631516024,33.7537623702083
"2016-02-09",2.71601788969711,28.0861739643151
"2016-02-09",3.12689126804471,38.8039759405656
"2016-02-10",3.41919040083885,44.2034266771516
"2016-02-10",2.68400817681104,33.9166738486383
"2016-02-10",2.71747434921563,28.9304404070135
"2016-02-11",3.18180872667581,37.4710562685505
"2016-02-11",3.0294196090661,32.3280120537383
"2016-02-11",3.55324856592343,44.6487624342553
"2016-02-11",3.25917222443968,40.1451060591498
"2016-02-11",3.3906646954827,45.3249649788486
"2016-02-11",3.29316132832319,41.2055904295994
"2016-02-11",3.50274780970067,44.6841897092527
"2016-02-11",3.38315963977948,43.990087835351
"2016-02-12",3.48098885007203,43.7437886812259
"2016-02-12",3.58875050004572,43.7557633024408
"2016-02-12",3.01656632889063,31.611407850869
"2016-02-12",2.82143085356802,33.3488728286466
"2016-02-12",3.8529994674027,37.9305189783918
"2016-02-12",2.84605060881004,27.7274244792061
"2016-02-12",3.28355964934453,34.9007757055806
"2016-02-13",4.70655861906707,36.4785572596593
"2016-02-13",3.45406542886048,45.7372317591216
"2016-02-13",4.50886014234275,34.9695728020743
"2016-02-13",3.73433630308136,43.3806968886638
"2016-02-13",3.70818950384855,44.4886494966922
"2016-02-13",4.82642804477364,34.8291393023683
"2016-02-13",4.04225653829053,34.3974928780226
"2016-02-13",3.7498354469426,42.1964946048101
"2016-02-13",3.55098961386829,39.9008925860981
"2016-02-14",3.30354221323505,26.4860944809625
"2016-02-14",4.2504540300928,30.0789546559099
"2016-02-14",4.33009237544611,30.2089310182491
"2016-02-14",3.68663949649781,27.27742918476
"2016-02-14",3.16500166682526,33.6663682101062
"2016-02-14",3.7809936712496,38.0341832002159
"2016-02-14",3.74108283575624,44.6551809889497
"2016-02-14",3.41281845532357,42.1673117558239
"2016-02-15",3.52410720698536,39.583480370813
"2016-02-15",3.41130607603118,45.8409788155695
"2016-02-15",5.71121792802588,31.885965275811
"2016-02-15",5.6231688275002,32.9296190476744
"2016-02-16",3.64884542329237,41.3199471740518
"2016-02-16",4.77739825537429,33.4473632237641
"2016-02-16",5.09088044017553,29.1733855406055
"2016-02-16",3.2475352297537,42.3966125634033
"2016-02-16",4.65316782705486,31.5468865254661
"2016-02-17",3.26063444651663,35.3206724175252
"2016-02-17",4.37552852416411,26.7707445941633
"2016-02-17",3.41559537434951,39.1451653400436
"2016-02-17",4.92594214500859,30.7251967942575
"2016-02-17",3.22212683120742,42.4863231782801
"2016-02-17",3.18010882996022,35.3618919948349
"2016-02-17",3.13226706013083,42.1797641816083
"2016-02-17",4.89813440861181,26.4482882501325
"2016-02-17",3.0382547115907,36.600114552537
"2016-02-18",4.41697493959218,29.2666727165924
"2016-02-18",4.68759590703994,30.8943478721194
"2016-02-18",3.04231334589422,34.3603703550762
"2016-02-18",4.66754338508472,30.0001837322488
"2016-02-18",4.87367909057066,30.3267326375935
"2016-02-19",3.40955846980214,41.16817651561
"2016-02-20",3.10445468164981,45.6912763887085
"2016-02-20",3.29876207327471,39.1243792080786
"2016-02-20",3.39483185606077,35.7621486331336
"2016-02-20",6.50873461700976,28.4196183636086
"2016-02-20",4.79183481549844,31.2738725722302
"2016-02-20",3.34673562375828,35.891931832768
"2016-02-20",6.61268045790494,27.7331590178655
"2016-02-20",3.29506539665163,41.2594834635966
"2016-02-20",3.33135663243011,39.2535835143644
"2016-02-21",3.37067081425339,42.0733129257569
"2016-02-21",3.64715431118384,35.2904027980985
"2016-02-21",3.14448538292199,33.6114006820135
